degree,num
0,1
5,2860
6,1724
7,1185
8,830
9,627
10,482
11,376
12,263
13,225
14,186
15,128
16,139
17,104
18,94
19,86
20,59
21,56
22,42
23,38
24,32
25,32
26,27
27,32
28,20
29,29
30,24
31,25
32,15
33,22
34,12
35,14
36,15
37,8
38,3
39,8
40,10
41,7
42,6
43,12
44,4
45,9
46,10
47,2
48,2
49,6
50,2
51,3
52,2
53,6
54,3
55,5
56,5
58,2
59,1
60,1
61,4
62,2
63,1
64,2
65,1
66,5
67,2
68,2
69,4
70,5
71,3
74,1
75,1
76,2
77,1
79,1
80,2
81,3
82,1
84,1
85,1
87,1
88,1
89,1
92,1
94,2
96,2
98,1
103,1
104,1
109,1
111,1
114,1
119,1
124,1
126,1
131,1
134,1
136,1
158,1
165,1
168,1
171,1
188,1
190,1
210,2
223,1
248,1
338,1
369,1
374,1
377,1
